state,income,illiteracy
Alabama,3624,2.1
Alaska,6315,1.5
Arizona,4530,1.8
Arkansas,3378,1.9
California,5114,1.1
Colorado,4884,0.7
Connecticut,5348,1.1
Delaware,4809,0.9
Florida,4815,1.3
Georgia,4091,2
Hawaii,4963,1.9
Idaho,4119,0.6
Illinois,5107,0.9
Indiana,4458,0.7
Iowa,4628,0.5
Kansas,4669,0.6
Kentucky,3712,1.6
Louisiana,3545,2.8
Maine,3694,0.7
Maryland,5299,0.9
Massachusetts,4755,1.1
Michigan,4751,0.9
Minnesota,4675,0.6
Mississippi,3098,2.4
Missouri,4254,0.8
Montana,4347,0.6
Nebraska,4508,0.6
Nevada,5149,0.5
New Hampshire,4281,0.7
New Jersey,5237,1.1
New Mexico,3601,2.2
New York,4903,1.4
North Carolina,3875,1.8
North Dakota,5087,0.8
Ohio,4561,0.8
Oklahoma,3983,1.1
Oregon,4660,0.6
Pennsylvania,4449,1
Rhode Island,4558,1.3
South Carolina,3635,2.3
South Dakota,4167,0.5
Tennessee,3821,1.7
Texas,4188,2.2
Utah,4022,0.6
Vermont,3907,0.6
Virginia,4701,1.4
Washington,4864,0.6
West Virginia,3617,1.4
Wisconsin,4468,0.7
Wyoming,4566,0.6
